Symbol,Date,Quantity,Price,c. price_unnamed: 4_level_1_c. price_c. price,Proceeds,Commission,Basis,realized p/l_unnamed: 8_level_1_realized p/l_realized p/l,mtm p/l_mtm in usd_mtm p/l_mtm p/l,code_code_code_code
SPY,2025-03-27 09:32:12,-881.0,567.2107,567.0800,499712.63,-80.15,-499632.47,0.00,115.15,IA;O
SPY,2025-03-28 09:37:03,881.0,566.0,555.6600,-498646.0,-66.11,499632.47,920.37,-9109.54,C;P
SPY,2025-03-28 10:18:19,-1000.0,561.0,555.6600,561000.0,-90.8,-560909.20,0.00,5340.00,O
SPY,2025-03-28 10:38:50,1000.0,559.01548,555.6600,-559015.48,-75.04,560909.20,1818.68,-3355.48,C;P
SPY,2025-03-28 10:51:29,-1250.0,559.0,555.6600,698750.0,-113.43,-698636.57,0.00,4175.00,O;P
SPY,2025-03-28 15:31:24,1250.0,555.5,555.6600,-694375.0,-93.79,698636.57,4167.78,200.00,C
SPY,2025-03-31 12:29:14,-2500.0,554.5,559.3900,1386250.0,-226.54,-1386023.46,0.00,-12225.00,O;P
SPY,2025-03-31 15:07:02,2500.0,557.9992,559.3900,-1394998.0,-187.59,1386023.46,-9162.13,3477.00,C;P
SPY,2025-04-01 10:03:31,-1800.0,556.459742222,560.9700,1001627.54,-163.23,-1001464.31,0.00,-8118.46,O;P
SPY,2025-04-02 09:32:13,1800.0,556.0,564.5200,-1000800.0,-135.06,1001464.31,529.25,15336.00,C;P
SPY,2025-04-03 12:30:01,-1834.0,546.0,536.7000,1001364.0,-165.76,-1001198.24,0.00,17056.20,O;P
SPY,2025-04-04 11:12:17,1834.0,521.094825518,505.2800,-955687.91,-137.62,1001198.24,45372.72,-29004.39,C;P
SPY,2025-04-04 12:59:54,2941.0,512.15,505.2800,-1506233.15,-220.68,1506453.83,0.00,-20204.67,O;P
SPY,2025-04-04 15:27:58,-370.0,511.074740541,505.2800,189097.65,-33.09,-189523.26,-458.69,2144.05,C;IM;P
SPY,2025-04-04 15:30:47,-118.0,511.022,505.2800,60300.6,-11.55,-60442.55,-153.51,677.56,C
SPY,2025-04-04 15:32:16,-1585.0,511.9212,505.2800,811395.1,-141.77,-811876.68,-623.35,10526.30,C;IA
SPY,2025-04-04 15:51:53,-868.0,507.804043779,505.2800,440773.91,-77.54,-444611.33,-3914.96,2190.87,C;P
SPY,2025-04-07 11:59:16,2000.0,500.0,504.3800,-1000000.0,-150.07,1000150.07,0.00,8760.00,O;P
SPY,2025-04-08 10:58:12,-2000.0,518.0,496.4800,1036000.0,-179.2,-1000150.07,35670.73,43040.00,C;P
SPY,2025-04-09 09:32:35,2000.0,496.13005,548.6200,-992260.1,-150.09,992410.19,0.00,104979.90,O;P
SPY,2025-04-09 13:18:53,-2000.0,498.0354827,548.6200,996070.97,-178.1,-992410.19,3482.68,-101169.03,C;P
SPY,2025-04-10 08:32:17,1850.0,536.297567568,524.5800,-992150.5,-138.83,992289.33,0.00,-21677.50,O;P
SPY,2025-04-10 08:41:27,-1850.0,532.3,524.5800,984755.0,-166.5,-992289.33,-7700.83,14282.00,C;P
SPY,2025-04-14 09:41:48,-1850.0,540.033735135,539.1200,999062.41,-166.92,-998895.49,0.00,1690.41,O;P
SPY,2025-04-21 11:32:07,1850.0,512.55,513.8800,-948217.5,-138.81,998895.49,50539.18,2460.50,C
SPY,2025-04-22 12:10:37,2000.0,527.49034,527.2500,-1054980.68,-150.07,1055130.75,0.00,-480.68,O;P
SPY,2025-04-22 12:10:37,-2000.0,527.5,527.2500,1055000.0,-179.73,-1055130.75,-310.48,500.00,C;P
SPY,2025-04-22 12:10:38,34.0,527.5162,527.2500,-17935.55,-3.55,17939.10,0.00,-9.05,O
SPY,2025-04-22 12:11:35,-1934.0,527.506877353,527.2500,1020198.3,-173.82,-563292.22,-7.07,496.80,C;O;P
SPY,2025-04-22 17:30:26,1900.0,534.0,527.2500,-1014600.0,-142.57,1002092.45,-12650.11,-12825.00,C;P
SPY,2025-04-23 15:50:00,-1900.0,535.5,535.4200,1017450.0,-171.17,-1017278.83,0.00,152.00,O;P
SPY,2025-04-24 14:51:30,1900.0,546.75,546.6900,-1038825.0,-142.57,1017278.83,-21688.73,-114.00,C;P
SPY,2025-04-29 13:49:02,-2700.0,555.0,554.3200,1498500.0,-244.7,-1498255.30,0.00,1836.00,O;P
SPY,2025-04-30 13:32:16,2700.0,550.268555556,554.5400,-1485725.1,-202.62,1498255.30,12327.58,11532.90,C;IM;P
SPY,2025-05-05 09:55:01,-3000.0,562.5,563.5100,1687500.0,-272.52,-1687227.48,0.00,-3030.00,O;P
SPY,2025-05-06 12:13:56,3000.0,562.5,558.8000,-1687500.0,-225.1,1687227.48,-497.62,-11100.00,C;P
SPY,2025-05-29 10:05:01,845.0,590.5,590.0500,-498972.5,-63.4,499035.90,0.00,-380.25,O;SO
SPY,2025-05-30 12:28:50,-845.0,584.948402367,589.3900,494281.4,-63.55,-499035.90,-4818.05,-3753.15,C;P;SO
SPY,2025-10-08 09:54:12,2200.0,670.0,673.1100,-1474000.0,-165.05,1474165.05,0.00,6842.00,O
SPY,2025-10-10 12:54:03,-2200.0,659.089954545,653.0200,1449997.9,-166.65,-1474165.05,-24333.80,13353.90,C;P
SPY,2025-12-08 10:02:56,365.0,685.676821918,683.6300,-250272.04,-27.38,250299.42,0.00,-747.09,O
SPY,2025-12-08 10:24:46,50.0,684.7892,683.6300,-34239.46,-4.75,34244.21,0.00,-57.96,O;P
SPY,2025-12-08 10:53:54,50.0,684.21,683.6300,-34210.5,-4.75,34215.25,0.00,-29.00,O;P
SPY,2025-12-08 11:23:53,50.0,683.97894,683.6300,-34198.95,-4.75,34203.70,0.00,-17.45,O;P
SPY,2025-12-08 11:53:53,50.0,683.29,683.6300,-34164.5,-4.75,34169.25,0.00,17.00,O;P
SPY,2025-12-08 13:19:54,50.0,683.765,683.6300,-34188.25,-4.75,34193.00,0.00,-6.75,IM;O;P
SPY,2025-12-08 13:49:53,50.0,682.6788,683.6300,-34133.94,-4.75,34138.69,0.00,47.56,O
SPY,2025-12-30 07:36:17,-665.0,687.5,687.0100,457187.5,-49.99,-455463.51,1674.00,325.85,C
T,2025-07-17 08:41:40,-3723.0,26.85,26.9900,99962.55,-279.94,-99682.61,0.00,-521.22,O
T,2025-08-08 10:41:04,3723.0,28.19,28.0800,-104951.37,-279.31,99682.61,-5548.07,-409.53,C
TGT,2025-05-21 09:49:31,1089.0,91.725918274,93.0100,-99889.52,-81.73,99971.25,0.00,1398.36,IM;O;P
TGT,2025-05-22 11:06:14,-1089.0,95.104692378,95.0600,103569.01,-81.91,-99971.25,3515.85,48.67,C;P
THC,2025-08-08 10:40:07,-600.0,164.463333333,165.5800,98678.0,-45.11,-98632.89,0.00,-670.00,O
THC,2025-08-11 09:35:16,-600.0,166.9,166.6300,100140.0,-45.11,-100094.89,0.00,162.00,O
THC,2025-08-14 10:07:54,600.0,173.54,172.3600,-104124.0,-45.02,98632.89,-5536.13,-708.00,C
THC,2025-08-14 10:16:28,600.0,173.313333333,172.3600,-103988.0,-45.02,100094.89,-3938.13,-572.00,C
TSLA,2025-08-12 09:58:55,1190.0,336.0,340.8400,-399840.0,-89.28,399929.28,0.00,5759.60,O
TSLA,2025-08-20 09:54:12,-1190.0,320.21,323.9000,381049.9,-89.48,-399929.28,-18968.86,-4391.10,C;P
TSM,2025-01-28 09:50:14,2564.0,193.946308502,202.4000,-497278.34,-192.41,497470.75,0.00,21675.26,O;P;SO
TSM,2025-01-29 14:00:39,-2564.0,200.64,202.3300,514440.96,-207.12,-497470.75,16763.10,-4333.16,C;P;SO
TSM,2025-01-30 15:24:53,2396.0,208.5,208.1500,-499566.0,-179.78,499745.78,0.00,-838.60,O;SO
TSM,2025-02-03 10:05:05,1246.0,200.6,199.8000,-249947.6,-93.49,250041.09,0.00,-996.80,O;P;SO
TSM,2025-02-26 13:33:15,-1837.0,193.422966794,194.6200,355317.99,-148.02,-383152.34,-27982.37,-2198.95,C;P;SO
TSM,2025-03-11 09:35:11,-1805.0,170.0,170.9700,306850.0,-144.27,-366634.54,-59928.81,-1750.85,C;P
UNH,2025-05-21 10:18:02,327.0,305.0,302.9800,-99735.0,-26.17,99761.17,0.00,-660.54,O;P
UNH,2025-05-27 10:16:01,-327.0,290.0,295.0000,94830.0,-26.23,-99761.17,-4957.40,-1635.00,C;SO
UNH,2025-06-10 15:55:14,330.0,303.2,303.7900,-100056.0,-26.41,100082.41,0.00,194.70,O;P
UNH,2025-07-01 11:27:16,-330.0,325.0,326.1400,107250.0,-26.46,-100082.41,7141.13,-376.20,C
V,2025-02-07 09:47:09,-1430.0,350.16,348.0200,500728.8,-121.46,-500607.34,0.00,3060.20,O;P;SO
V,2025-02-11 10:46:51,1430.0,347.256468531,350.7200,-496576.75,-107.32,500607.34,3923.28,4952.85,C;P;SO
V,2025-03-07 09:49:30,437.0,344.24,345.3200,-150432.88,-32.79,150465.67,0.00,471.96,O
V,2025-03-28 10:00:00,-437.0,348.750457666,342.8500,152403.95,-37.1,-150465.67,1901.18,2578.50,C;P
V,2025-06-13 10:18:16,571.0,349.98,352.8500,-199838.58,-42.85,199881.43,0.00,1638.77,O;P
V,2025-06-18 15:39:40,-571.0,338.91,340.3800,193517.61,-42.95,-199881.43,-6406.77,-839.37,C
V,2025-07-11 09:34:12,-850.0,352.801247059,347.9300,299881.06,-63.91,-299817.15,0.00,4140.56,O;P
V,2025-07-21 09:47:22,850.0,350.793035294,350.9400,-298174.08,-63.77,299817.15,1579.29,124.92,C;IM;P
V,2025-11-11 15:18:17,885.0,338.809096045,338.9200,-299846.05,-66.39,299912.44,0.00,98.15,O
V,2025-11-11 15:18:17,-885.0,338.752928814,338.9200,299796.34,-66.54,-299912.44,-182.64,-147.86,C
V,2025-11-11 15:21:38,-885.0,338.545,338.9200,299612.32,-66.54,-299545.78,0.00,-331.88,O
V,2025-11-18 11:29:35,885.0,320.316214689,321.1800,-283479.85,-66.39,299545.78,15999.54,764.45,C
VICI,2025-03-26 09:59:32,1570.0,31.847292994,31.9000,-50000.25,-117.82,50118.07,0.00,82.75,O;P
VICI,2025-03-27 11:21:36,3500.0,32.3293,31.8800,-113152.55,-262.66,113415.21,0.00,-1572.55,IA;O;P
VICI,2025-04-01 10:00:01,-5070.0,32.303208974,32.4400,163777.27,-385.88,-163533.28,-141.89,-693.53,C;P
VIRT,2025-01-10 14:12:47,4316.0,34.75,34.6400,-149981.0,-323.85,150304.85,0.00,-474.76,O;P;SO
VIRT,2025-01-15 11:06:26,2785.0,35.917163375,35.9900,-100029.3,-209.0,100238.30,0.00,202.85,O;P;SO
VIRT,2025-01-22 14:28:40,-1597.0,37.457207264,37.4100,59819.16,-121.77,-55615.75,4081.64,75.39,C;P;SO
VIRT,2025-01-22 14:29:15,-148.0,37.4,37.4100,5535.2,-12.28,-5154.02,368.90,-1.48,C;P;SO
VIRT,2025-01-22 14:30:56,-5356.0,37.380754294,37.4100,200211.32,-408.34,-189773.39,10029.59,-156.64,C;P;SO
VIRT,2025-02-18 10:20:13,6749.0,37.038001926,37.7300,-249969.48,-506.45,250475.93,0.00,4670.30,O;P;SO
VIRT,2025-02-25 10:42:43,-6749.0,34.927786191,35.1000,235727.63,-514.15,-250475.93,-15262.45,-1162.27,C;P;SO
VTV,2025-11-24 09:30:28,2156.0,185.5,185.3000,-399938.0,-161.75,400099.75,0.00,-431.20,O
VTV,2025-12-15 11:18:22,646.0,193.217473684,193.2300,-124818.49,-48.45,124866.94,0.00,8.09,O
VTV,2025-12-24 09:47:11,1300.0,192.377679308,192.8700,-250090.98,-97.5,250188.48,0.00,640.02,O
VTWO,2025-06-09 12:15:43,5800.0,86.178275862,86.2300,-499834.0,-435.26,500269.26,0.00,300.00,O;P
VTWO,2025-06-23 12:37:02,-5800.0,83.60187931,85.5600,484890.9,-436.22,-500269.26,-15814.58,-11357.10,C;P
